NEGATIVE #	SUBJECT	LOCATION	COUNTY	STATE	COUNTRY	MONTH	DAY	YEAR	PHOTOGRAPHER	GLASS PLATE	CELLULOID	SAFETY FILM	SIZE	BLACK & WHITE	COLOR	4X5 COPY NEGATIVE	35MM SLIDE	PRINT ON FILE	COMMENTS1	COMMENTS2	PUBLISHED
227	CM 4228 Cyclopoma micracanthum; CM 4212 Cyclopoma pygmaeum; CM 4230 Seriola prisca; and CM 4501 Lates gracilis.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 97, fig. 4 (4228), fig. 5 (4212), fig. 6 (4230); pl. 99, fig. 2 (4501)
228	CM 4298 Seriola prisca and CM 4439 Eocottus veronensis.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 97, fig. 1 (both)
229	CM 4312 Blochius longirostris.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 90, fig. 3
230	CM 4350 Vomeropsis longispinus.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 93, fig. 2
231	CM 4404 Callipteryx speciosus.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 101, fig. 1
232	CM 4414 Trachynotus cf. tenuiceps.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 100
233	CM 4416 Sparnodus elongatus.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 98, fig. 2
234	CM 4439 Acanthonemus subaureus.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 94
235	CM 4441a Naseus rectifrons and CM 4415 Zanclus brevirostris.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 97, fig. 2 (4441a), fig. 3 (4415)
236	CM 4463 Ephippus rhombus and smaller unidentified fish.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 92, fig. 2 (4463)
237	CM 4469a Seriola (Lichia) prisca.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 101, fig. 2
238	CM 4480 Pycnodus gibbus and CM 5238 Ephippus oblongus.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 95, fig. 2 (5238), fig. 3 (4480)
239	CM 4489a Vomeropsis longispinus.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 93, fig. 1
240	CM 4499 Urosphen dubia and CM 4230 Seriola (Lichia) prisca.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 96, fig. 2 (4499), fig. 6 (4230)
241	CM 4504 Gobius microcephalus; CM 4215 Pterygocephalus paradoxus and CM 4501 Lates gracilis.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 96, fig. 4 (4504), fig. 5 (4215); pl. 99, fig. 2 (4501)
242	CM 4545 Seriola (Lichia) prisca.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 99, fig. 3
243	CM 5233 Eomyrus formosissimus.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 90, fig. 1
244	CM 866 Caturus furcatus var. macrurus.	Solnhofen		Bavaria	Germany					Y			5x7	Y				Y			Eastman: MCM 6(7), pl.. 61, fig. 3.
245	CM 866 Caturus furcatus, var. macrurus and CM 4690 Ophiopsis procera.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 61, fig. 3 (866); pl. 70, fig. 1 (4690)
246	CM 866 Caturus furcatus, var. macrurus and CM 4764 (?) Macrosemius rostratus.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y	CM 4764 (?) Macrosemius rostratus specimen is missing.		Eastman: MCM 6(7), pl. 61, fig. 4 (866); pl. 62, fig. 2 (4764)
247	CM 871 Caturus furcatus and CM 872 Caturus furcatus.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 60, fig. 2 (871); pl. 59, fig. 3 (872)
248	CM 4029 Parathrissops furcatus HOLOTYPE.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 59, fig. 2
249	CM 4030 Thrissops subovatus.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 72, fig. 2, as T. formosus
250	CM 4108 and CM 4109 Leptolepis sprattiformis.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 73, figs. 1-2
251	CM 4407 Gyrodus circularis.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 69, fig. 2
252	CM 4408 Belemnobatis sismondae.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 67, fig. 1
253	CM 4456 and CM 4456a Mesodon macropterus; CM 4451 Caturus furcatus; CM 4856 Ophiopsis attenuata; and CM Histionotis reclinus.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 61, figs. 1-2 (4456 & 4456a); pl. 68, fig. 1 (4451); pl. 62, fig. 1 (4856), fig. 4 (5002)
254	CM 4690 Ophiopsis procera and CM 5017 Anaethalion knorri.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 70, fig. 1 (4690); pl. 73, fig. 4 (5017)
255	CM 4717 Thrissops salmoneus.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 72, fig. 1
256	CM 4724 Caturus pachyurus and CM 4850 Belonostomus muensteri.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 59 (4724); pl. 60 (4850)
257	CM 4729 Pholidophorus macrocephalus.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 65, fig. 3
258	CM 4730 Lepidotus ovatus HOLOTYPE.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 58, fig. 2
259	CM 4732 Megalurus lepidotus.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 70, fig. 3
260	CM 4734 Gyrodus macrophthalmus.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 69, fig. 1
261	CM 4737 Squatina minor.	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 57, fig. 3
262	CM 4762 Homoeolepis suborbiculata HOLOTYPE	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 58, fig. 3
263	CM 4766 Sauropsis depressus HOLOTYPE and smaller unidentified fish	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 60, fig. 3
264	CM 4772 Sauropsis sp. nov	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 66, fig. 1
265	CM 4774 Caturus furcatus	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 72, fig. 3
266	CM 4793 Pholidophorus macrocephalus	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 58, fig. 1
267	CM 4809 Caturus furcatus	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 61, fig. 5
268	CM 4854 Megalurus elegantissimus and CM 5049 Caturus furcatus	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 70, fig. 2 (4854); pl. 73, fig. 3 (5049)
269	CM 5397 Squatina alifera	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 67, fig. 2
270	CM 5398 Hypsocormus insignis	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 71, fig. 3
271	CM 5399 Hypsocormus macrodon	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 71, fig. 1
272	CM 5400 Hypsocormus macrodon	Solnhofen		Bavaria	Germany					Y			8x10	Y				Y			Eastman: MCM 6(7), pl. 71, fig. 2
273	Fossil fish	Solnhofen		Bavaria	Germany																
